recipe_id,totalCO2,greennessD
99866,2.1826096999999995,4
129984,2.775424,4
111829,1.4806178,4
51144,2.5934175,4
73362,1.000576,4
202416,3.992276,3
52087,3.24519535,3
60781,4.21912938,3
36123,1.72939,4
256081,1.3845,4
95734,37.20518499999999,1
52491,2.872466,3
25962,2.167438933333333,4
97674,1.104254,4
28303,1.132649,4
48769,2.01124,4
5245,1.3325745,4
8650,1.999849,4
11923,6.045048,3
206246,1.727643,4
29141,2.8827096,3
30965,1.614438,4
33016,4.6896164,3
33130,6.1965650000000005,3
37929,1.715479475,4
55680,6.029175,3
69450,3.334725,3
222519,10.601677,2
4075,1.069505,4
103085,5.6863,3
6602,1.771502,4
57763,3.5077647999999995,3
169085,6.160921,3
324802,1.6729075,4
15003,3.32083745,3
166030,1.128344,4
75659,1.669601,4
160379,1.325204,4
33245,3.258518,3
71258,2.8755828,3
39446,2.6015984000000003,4
41570,6.458593874999998,3
170022,5.9736096,3
25735,5.132410550000001,3
57113,5.747859999999999,3
70224,94.9179578,0
155018,1.429121875,4
195193,1.4203156,4
313325,6.6640988,3
192894,2.131412,4
23715,3.4396886666666666,3
132330,95.363674,0
1133,5.612674,3
22349,63.6229724,1
158634,7.498692800000001,3
29255,4.123925,3
175034,10.762784,2
16696,4.4540088,3
51861,1.6187269,4
63100,3.9381111,3
152719,4.958921999999999,3
70329,9.12411895,2
42151,14.110912,2
122481,4.476494000000001,3
29817,3.4367533333333333,3
46112,1.839169,4
80675,10.3701975,2
195593,2.572025,4
57908,7.330444000000001,3
367414,1.774499,4
152072,1.102725,4
40560,1.954466,4
69479,3.0414564000000004,3
43817,12.65546655,2
75628,4.488049,3
182040,1.0,5
65643,15.5281502,2
70646,8.257014999999999,2
125116,3.2061825000000006,3
164760,14.0427296,2
12677,48.5812159,1
152412,2.820421,4
93670,1.3297315,4
18481,1.576379,4
115100,24.172393,1
148899,1.97724432,4
166559,2.4488190000000003,4
96346,2.2190178,4
8763,6.256324,3
32449,1.713319,4
13949,2.995796,3
19453,94.7755669,0
12660,3.4782175,3
2686,2.06975,4
108616,1.4200879999999998,4
95988,9.2422862,2
154293,7.2192007,3
139499,4.4208976,3
59514,6.332859000000002,3
151959,3.169345333333333,3
30704,1.39116,4
61830,1.90903725,4
113015,63.2825225,1
23209,1.075778,4
109880,2.2431065,4
14911,6.6321306,3
50600,3.7129881,3
16576,6.8405203000000006,3
